product_id,source_product_id,product_name,product_description,product_category,source_id,source_file_id,source_record_id,collected_at
prd_0001,1,Product 1,,,src_nist_supplychain,file_nist_001,1,2026-08-19
prd_0002,2,Product 2,,,src_nist_supplychain,file_nist_001,2,2026-08-19
prd_0003,3,Product 3,,,src_nist_supplychain,file_nist_001,3,2026-08-19
prd_0004,4,Product 4,,,src_nist_supplychain,file_nist_001,4,2026-08-19
prd_0005,5,Product 5,,,src_nist_supplychain,file_nist_001,5,2026-08-19
prd_0006,6,Product 6,,,src_nist_supplychain,file_nist_001,6,2026-08-19
prd_0007,7,Product 7,,,src_nist_supplychain,file_nist_001,7,2026-08-19
prd_0008,8,Product 8,,,src_nist_supplychain,file_nist_001,8,2026-08-19
prd_0009,9,Product 9,,,src_nist_supplychain,file_nist_001,9,2026-08-19
prd_0010,10,Product 10,,,src_nist_supplychain,file_nist_001,10,2026-08-19
prd_0011,1,Product A,,,src_nist_supplychain,file_nist_004,1,2026-08-19
prd_0012,2,Product B,,,src_nist_supplychain,file_nist_004,2,2026-08-19
prd_0013,3,Product C,,,src_nist_supplychain,file_nist_004,3,2026-08-19
prd_0014,4,Product D,,,src_nist_supplychain,file_nist_004,4,2026-08-19
prd_0015,5,Product E,,,src_nist_supplychain,file_nist_004,5,2026-08-19
prd_0016,6,Product F,,,src_nist_supplychain,file_nist_004,6,2026-08-19
prd_0017,7,Product G,,,src_nist_supplychain,file_nist_004,7,2026-08-19
prd_0018,8,Product H,,,src_nist_supplychain,file_nist_004,8,2026-08-19
prd_0019,20-0002,GPS Car Navigation Unit - Model 3,"Product Assembly for GPS Car Navigation System Assembly - Model 3 Includes base product only, no packaging or localized components like charging adapters.",,src_nist_supplychain,file_nist_007,20-0002,2026-08-19
prd_0020,20-0003,"GPS, Front Bezel Assembly","GPS Car Navigation System Front Bezel Assy Includes: Bezel, LCD, gasket and screws",,src_nist_supplychain,file_nist_007,20-0003,2026-08-19
prd_0021,20-0004,"GPS, Rear Assembly","GPS Car Navigation System Model 3, Rear Panel Assembly",,src_nist_supplychain,file_nist_007,20-0004,2026-08-19
prd_0022,20-0005,Package Documentation,,,src_nist_supplychain,file_nist_007,20-0005,2026-08-19
prd_0023,20-0015,"GPS, PCBA, Model 3",Board Assembly. This is the primary PCB assembly that sits at the back of the GPS Car Navigation System Model 3,,src_nist_supplychain,file_nist_007,20-0015,2026-08-19
prd_0024,30-0085,Packaging,"5"" x 5"" x 5"" white box packaging with images & labels attached. See files tab for artwork to be adhered to box.",,src_nist_supplychain,file_nist_007,30-0085,2026-08-19
prd_0025,40-0009,"Power Supply, US",Input: 110-250 VAC 50/60HZ. output: 5 VDC + 5%. max: 450 mA. Min: 150 mA LEDs: Power. Charge time aprox. 1 hour.,,src_nist_supplychain,file_nist_007,40-0009,2026-08-19
prd_0026,40-0011,LCD,,,src_nist_supplychain,file_nist_007,40-0011,2026-08-19
prd_0027,40-0035,"GPS, Circuit Board",Circuit board for the GPS product,,src_nist_supplychain,file_nist_007,40-0035,2026-08-19
prd_0028,40-0038,GPS Micro controller,IC CTRLR BASEBAND 32BIT 64-TQFP,,src_nist_supplychain,file_nist_007,40-0038,2026-08-19
prd_0029,40-0039,USB Connector,"4 CONTACT(S), FEMALE, RIGHT ANGLE TELECOM AND DATACOM CONNECTOR, SURFACE MOUNT, RECEPTACLE",,src_nist_supplychain,file_nist_007,40-0039,2026-08-19
prd_0030,40-0041,0.1uF Ceramic Chip Capacitor,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.1 uF, SURFACE MOUNT, 0603",,src_nist_supplychain,file_nist_007,40-0041,2026-08-19
prd_0031,40-0042,10k Resistor,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 5 %, 250 ppm, 10000 ohm, SURFACE MOUNT",,src_nist_supplychain,file_nist_007,40-0042,2026-08-19
prd_0032,40-0043,1k Resistor,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 5 %, 250 ppm, 1000 ohm, SURFACE MOUNT",,src_nist_supplychain,file_nist_007,40-0043,2026-08-19
prd_0033,40-0044,"1.0uF Ceramic Capacitor, 1206","1.0uF Ceramic Capacitor, 1206",,src_nist_supplychain,file_nist_007,40-0044,2026-08-19
prd_0034,40-0045,Low-dropout 5.0V 100mA Voltage Regulator,"5 V FIXED POSITIVE LDO REGULATOR, 0.6 V DROPOUT, PDSO8",,src_nist_supplychain,file_nist_007,40-0045,2026-08-19
prd_0035,40-0046,100ohm Resistor,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 200 ppm, 100 ohm, SURFACE MOUNT, 0603",,src_nist_supplychain,file_nist_007,40-0046,2026-08-19
prd_0036,40-0047,51k Resistor,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 200 ppm, 51000 ohm, SURFACE MOUNT, 0603",,src_nist_supplychain,file_nist_007,40-0047,2026-08-19
prd_0037,40-0048,470k Resistor,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 200 ppm, 470000 ohm, SURFACE MOUNT, 0603",,src_nist_supplychain,file_nist_007,40-0048,2026-08-19
prd_0038,40-0049,500mW NPN Transistor,"1000 mA, 60 V, NPN, Si, SMALL SIGNAL TRANSISTOR",,src_nist_supplychain,file_nist_007,40-0049,2026-08-19
prd_0039,40-0050,Small-signal PNP Transistor,"200 mA, 40 V, PNP, Si, SMALL SIGNAL TRANSISTOR",,src_nist_supplychain,file_nist_007,40-0050,2026-08-19
prd_0040,40-0051,470 ohm Resistor,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 200 ppm, 47 ohm, SURFACE MOUNT, 0603",,src_nist_supplychain,file_nist_007,40-0051,2026-08-19
prd_0041,40-0052,"Tantalum Capacitor 10uF@16V,B pkg","CAPACITOR, TANTALUM, SOLID, POLARIZED, 16 V, 10 uF, SURFACE MOUNT, 1411",,src_nist_supplychain,file_nist_007,40-0052,2026-08-19
prd_0042,40-0053,"Tantalum Capacitor 4.7uF@4V,A pkg","CAPACITOR, TANTALUM, SOLID, POLARIZED, 10 V, 4.7 uF, SURFACE MOUNT, 1411",,src_nist_supplychain,file_nist_007,40-0053,2026-08-19
prd_0043,40-0054,Voltage Detector CMOS 4.3V SOT23,"1-CHANNEL POWER SUPPLY SUPPORT CKT, PDSO3",,src_nist_supplychain,file_nist_007,40-0054,2026-08-19
