ID,CHPL ID,Supplier ID,Type,Name,Version,Project ID
1,9FE7D3BE-87E3-EB8C-FE34-295504EC798D,31001,Software,amet,2.7.4,2;3
2,03E14B14-AE14-2E8F-870E-01EE32AFEFB1,12011,Software,primis in faucibus,Version 7.0,2
3,C77D2E2B-60CC-E6FD-7626-324B11C0B3DD,95787,Software,arcu,7,2
4,D0B8F6AE-17F2-1CBF-2A08-B81992DEDE05,95787,Software,vel arcu,10.22,2
5,8964D812-1934-AFE3-B750-65143AA62062,95787,Software,cursus purus EHR,17.1,2
6,009D4C53-45C3-939E-BAF3-539E3F9C2A11,12011,Software,ipsum,v18.00,2
7,32905352-DB16-4200-E8C2-B6CCBDF46C5F,12011,Software,tellus Nunc lectus EHR,v11.10,3
8,268112EB-6BA6-C2CE-A251-FD9E4E566945,12011,Software,sit amet,9,3
9,538E5A78-A863-EB9D-81E3-677E91A3F3FC,12011,Software,felis,v11,3
10,DC62DC5C-6D47-8CEA-1BCB-9BBCA44F9F1E,12011,Software,laoreet ipsum EHR,9.2,3
11,BB56A3BC-E8DC-9E46-C55D-1B43F16ED120,12011,Software,lacus Aliquam rutrum EHR,9.1,3
12,55614611-471E-76C0-844C-3CB308614DB4,59663,Software,tellus imperdiet non,1,3
13,16964E91-2BFA-9C3E-327C-C006920CDD25,59663,Software,dolor,20,3
14,18698E9E-A74D-80AD-C8BE-59546AEE9634,59663,Software,tristique,20,3
15,2C5F1BF8-2E4E-32AF-4560-F7FCF1C8A339,59663,Software,at,11,3
16,2628B3A3-8AC0-6CDF-D2FB-06F9702C6644,59663,Software,metus eu,9.7,3
17,243B1421-A55F-A3F7-16EE-42544F9960BB,59663,Software,a aliquet,12,3
18,3023F2B8-F760-0D0E-EA01-FC2E18A0E7FA,30272,Software,natoque penatibus EHR,3,4
19,DADEF7B2-AABF-C46E-CB3A-C748C839BCB7,30272,Software,non,3,4
20,DEF59175-6C63-D9F2-87BB-14E07627C1B1,30272,Software,erat Etiam vestibulum,Version 3.0,4
21,1D31580A-295C-7C0A-703C-891FFF7AA13E,81659,Software,ut mi,Version 1.5,4
22,3FC51371-200D-EBB3-E151-8BADDF370133,95787,Software,libero,7,4
23,D94D235E-0495-9EB8-0CED-E4B0BD2B37D1,81659,Software,lorem auctor quis,18.5,4
24,622A037F-2606-6F21-857D-B657EDFBD4CB,43057,Software,Fusce,2016.3,4
25,1545F23E-D7A7-3B9A-1EE3-925DE836FC27,95787,Software,nulla In tincidunt,Version 1.27,4
26,A1E27836-360C-FF95-4BBA-9C9CDB26E95D,21629,Software,tellus lorem,5.9,5
27,9071E35B-DA9F-CE4E-063A-3A1D84B211EF,21629,Software,elit elit,2.1,5
28,B44AE784-0030-C850-72B9-096B72064636,21629,Software,primis in,Version 5.0,5
29,8D572F15-61B4-9142-3A4F-3FF59AE1E9FA,81659,Software,at fringilla,3.5,5
30,8B9AD726-BE23-1128-8C75-6422A757EAB6,40189,Software,fermentum convallis ligula,12.3,5
