ID,Name,Supplier ID,Expire Date,Agency,Political Subdivision Availability,Project ID
40020,"Vehicle Equipment, Aftermarket",FRINGILLA_;VELIT_SED_,8/31/2019,Investigation,No,3
43862,Back-up ER Equip Installation,AC_LLC;SODALES_AT;TEMPUS_COR;PER_INCEPT,8/31/2020,Investigation,Yes,3
45874,Forensic Reference Materials,AMET_ULTRI,6/30/2019,Investigation,No,3
42760,Scientific Supplies,QUIS_PEDE_,6/30/2019,Investigation,No,3
45501,Topeka Lodging,PHARETRA_S,6/30/2019,Investigation,No,3
44198,Security Camera System,NETUS_LLP,11/30/2020,Investigation,No,3
45892,Controlled Substances,DIS_INC.,6/30/2019,Investigation,No,3
45987,KBI Software/Support,MI_ENIM_CO,6/30/2019,Investigation,No,3
45953,Chemicals/Monitoring Lab,ALIQUAM_ER,6/30/2022,Investigation,No,3
40007,Storage Bldg lease 509 Harrison,SED_TURPIS,9/30/2019,Investigation,No,3
38473,HIDTA Deputy Director,ET_IPSUM_C,6/30/2020,Investigation,No,3
45657,Camera and Badge Work,UT_ERAT_SE,6/30/2019,Investigation,No,3
45629,Camera Work,UT_ERAT_SE,6/30/2019,Investigation,No,3
45141,"Services, Access Control and V",UT_ERAT_SE,6/30/2021,Investigation,No,3
40136,Mobile Phone Extraction Device,HENDRERIT_,1/31/2020,Attorney General,Yes,4
42657,Gas Chromatograph/Mass Spectrometer,DIS_PARTUR,6/30/2019,Investigation,No,3
46357,EVT0006375,IACULIS_LL,3/1/2020,Investigation,No,3
40922,Badges and Insignia,EST_TEMPOR,9/30/2019,Attorney General,No,4
44853,Automated Biometric Identifica,DONEC_DIGN,4/15/2020,Investigation,No,3
45655,GREAT BEND LODGING,MI_LACINIA,6/30/2019,Investigation,No,3
45828,Buccal DNA Collection Kits,SED_CONSEQ,11/30/2023,Investigation,No,3
38602,Drug Analysis,INTEGER_UR,8/6/2019,Investigation,No,3
40172,15700 College Blvd lease,IPSUM_SUSP,1/31/2025,Investigation,No,3
43049,HIDTA Executive Director,DUI_SUSPEN,6/30/2020,Investigation,No,3
45864,"Financial Mgr, Midwest HIDTA",LIGULA_ALI,12/31/2023,Investigation,No,3
42175,Elevator Maintenance - KBI,TEMPUS_MAU,9/30/2019,Investigation,No,3
40014,DNA Reagents and Consumables,MOLESTIE_A,12/31/2019,Investigation,No,3
41676,Architectural Services,LOBORTIS_Q,5/19/2019,Administration,No,4
44795,Lab Pipette Calibration Maint,VITAE_ODIO,3/31/2023,Investigation,No,3
43379,Pittsburg Lease,VITAE_DIAM,6/30/2024,Investigation,No,3
44906,Strategic Intelligence Program,VITAE_DIAMidunt_Company,6/30/2019,Investigation,No,3
43122,ELISA Drug Detection Kit,LACUS_QUIS,5/30/2020,Investigation,Yes,3
45658,Biological Testing Services,NEQUE_INST,6/30/2019,Investigation,No,3
45884,CONSUMABLES/REPAIR/TOTAL ASSUR,NONUMMY_FU,6/30/2019,Investigation,No,3
40605,Service plan for UPLC system,NONUMMY_FU,7/31/2019,Investigation,No,3
45891,Omada Solutions / IAM Support,ORCI_TINCI,6/30/2020,Investigation,No,3
45827,Blood Alcohol Collection Kits,NULLA_DONE,11/30/2023,Investigation,No,3
45500,Analytical Instruments,PEDE_PRAES,6/30/2019,Investigation,No,3
45073,Forensic Toxicology Testing,QUISQUE_PO,6/30/2019,Investigation,No,3
42488,Multiplex Amplification Kit,CONSEQUAT_,12/31/2021,Investigation,Yes,3
46160,Lab Supplies,INCEPTOS_H;Aliquet_Diam_Sed_LLP,6/30/2019,Investigation,No,3
45378,Sexual Assault Kits,MUS_PROIN_,12/31/2023,Investigation,No,3
42715,HIDTA Program Coordinator,AMET_INCOR,6/30/2019,Investigation,No,3
43553,Psychological Services,TACITI_IND;DUI_INDUST;ID_COMPANY;NULLA_INTE,8/31/2020,Attorney General,Yes,4
45408,Webinar-Based Video Training S,DAPIBUS_QU,5/31/2019,Investigation,No,1
45732,GPS LOCATES,PHASELLUS_,6/30/2019,Investigation,No,3
43157,"Nikon Cameras, Kits and Suppli",VOLUTPAT_N,6/30/2022,Investigation,No,3
45877,Lodging,VESTIBULUM;NULLA_SEMP,6/30/2019,Investigation,No,3
45969,KBI Postage,NEQUE_SED_,6/30/2019,Investigation,No,3
